ICEDEALID,TRAN_NUM,DEAL_TRACKING_NUM,REFERENCE,TRADE_DATE,POSITION,PRICE
5037273,35816052,35816052,5037273.025846:011017.S,1/10/2017 12:00:00 AM,-5,5.42
5037326,35816056,35816056,5037326.025849:011017.S,1/10/2017 12:00:00 AM,-3,5.42
5044474,35816171,35816171,5044474.030627:011017.B,1/10/2017 12:00:00 AM,5,0.5398
5047168,35816224,35816224,5047168.030939:011017.B,1/10/2017 12:00:00 AM,5,0.5398
78672145,35814740,35814740,78672145.221137:010917.S,1/10/2017 12:00:00 AM,-1,1.60
78673003,35814743,35814743,78673003.221439:010917.S,1/10/2017 12:00:00 AM,-13,1.60
13220318,35814948,35814948,13220318.232949:010917.S,1/10/2017 12:00:00 AM,-1,57.24
13226457,35814966,35814966,13226457.234513:010917.S,1/10/2017 12:00:00 AM,-4,57.21
13227297,35814975,35814975,13227297.234523:010917.S,1/10/2017 12:00:00 AM,-10,57.21
13227649,35814978,35814978,13227649.234524:010917.S,1/10/2017 12:00:00 AM,-3,57.21
5023509,35815496,35815496,5023509.021744:011017.S,1/10/2017 12:00:00 AM,-1,5.31
5029101,35815880,35815880,5029101.023758:011017.S,1/10/2017 12:00:00 AM,-3,5.31
13156772,35814733,35814733,13156772.220637:010917.B,1/10/2017 12:00:00 AM,1,56.82
13226936,35814969,35814969,13226936.234520:010917.B,1/10/2017 12:00:00 AM,5,56.84
5036440,35816040,35816040,5036440.025738:011017.S,1/10/2017 12:00:00 AM,-4,5.39
5023527,35815497,35815497,5023527.021748:011017.S,1/10/2017 12:00:00 AM,-1,5.30
5029092,35815878,35815878,5029092.023756:011017.S,1/10/2017 12:00:00 AM,-3,5.31
5029060,35815873,35815873,5029060.023751:011017.S,1/10/2017 12:00:00 AM,-3,5.31
5029527,35815888,35815888,5029527.023833:011017.B,1/10/2017 12:00:00 AM,10,5.27
5070969,35816573,35816573,5070969.033215:011017.B,1/10/2017 12:00:00 AM,5,0.4646
5070969,35816575,35816575,5070969.033215:011017.B,1/10/2017 12:00:00 AM,5,0.4646
5070969,35816576,35816576,5070969.033215:011017.B,1/10/2017 12:00:00 AM,5,0.4646
5070969,35816577,35816577,5070969.033215:011017.B,1/10/2017 12:00:00 AM,5,0.4646
5070969,35816578,35816578,5070969.033215:011017.B,1/10/2017 12:00:00 AM,5,0.4646
5070969,35816579,35816579,5070969.033215:011017.B,1/10/2017 12:00:00 AM,5,0.4646
78672229,35814739,35814739,78672229.221137:010917.S,1/10/2017 12:00:00 AM,-1,1.60
9050858,35814909,35814909,9050858.224358:010917.S,1/10/2017 12:00:00 AM,-1,480
13226763,35814968,35814968,13226763.234517:010917.S,1/10/2017 12:00:00 AM,-4,57.21
5023528,35815495,35815495,5023528.021748:011017.B,1/10/2017 12:00:00 AM,1,5.30
5029088,35815877,35815877,5029088.023755:011017.S,1/10/2017 12:00:00 AM,-3,5.31
13459930,35816017,35816017,13459930.025609:011017.S,1/10/2017 12:00:00 AM,-3,57.22
5042935,35816142,35816142,5042935.030452:011017.S,1/10/2017 12:00:00 AM,-25,0.5395
78673004,35814742,35814742,78673004.221439:010917.B,1/10/2017 12:00:00 AM,13,55
13227118,35814973,35814973,13227118.234522:010917.S,1/10/2017 12:00:00 AM,-10,57.21
5024402,35815685,35815685,5024402.022144:011017.S,1/10/2017 12:00:00 AM,-5,0.5360
5029071,35815874,35815874,5029071.023752:011017.S,1/10/2017 12:00:00 AM,-1,5.31
78672146,35814741,35814741,78672146.221137:010917.B,1/10/2017 12:00:00 AM,1,55
9050857,35814907,35814907,9050857.224358:010917.B,1/10/2017 12:00:00 AM,1,485.25
13226762,35814967,35814967,13226762.234517:010917.B,1/10/2017 12:00:00 AM,4,56.84
5029075,35815875,35815875,5029075.023753:011017.S,1/10/2017 12:00:00 AM,-3,5.31
5062420,35816416,35816416,5062420.032330:011017.B,1/10/2017 12:00:00 AM,5,0.5415
13161593,35814744,35814744,13161593.221701:010917.S,1/10/2017 12:00:00 AM,-1,57.19
13161592,35814745,35814745,13161592.221701:010917.B,1/10/2017 12:00:00 AM,1,56.83
13223432,35814959,35814959,13223432.234013:010917.S,1/10/2017 12:00:00 AM,-1,57.24
13227117,35814971,35814971,13227117.234522:010917.B,1/10/2017 12:00:00 AM,10,56.84
13227475,35814972,35814972,13227475.234523:010917.S,1/10/2017 12:00:00 AM,-10,57.21
5029085,35815876,35815876,5029085.023754:011017.S,1/10/2017 12:00:00 AM,-3,5.31
5028629,35815870,35815870,5028629.023700:011017.S,1/10/2017 12:00:00 AM,-1,5.35
5029095,35815879,35815879,5029095.023757:011017.S,1/10/2017 12:00:00 AM,-3,5.31
5029128,35815883,35815883,5029128.023801:011017.S,1/10/2017 12:00:00 AM,-10,5.31
13459929,35816016,35816016,13459929.025609:011017.B,1/10/2017 12:00:00 AM,3,56.91
5036517,35816041,35816041,5036517.025746:011017.S,1/10/2017 12:00:00 AM,-25,0.5390
5037320,35816053,35816053,5037320.025848:011017.S,1/10/2017 12:00:00 AM,-5,5.42
5044473,35816172,35816172,5044473.030627:011017.B,1/10/2017 12:00:00 AM,5,0.5398
78672176,35814738,35814738,78672176.221137:010917.B,1/10/2017 12:00:00 AM,1,55
13226937,35814970,35814970,13226937.234520:010917.S,1/10/2017 12:00:00 AM,-5,57.21
78672175,35814737,35814737,78672175.221137:010917.S,1/10/2017 12:00:00 AM,-1,1.60
13226456,35814965,35814965,13226456.234513:010917.B,1/10/2017 12:00:00 AM,4,56.84
13227648,35814976,35814976,13227648.234524:010917.B,1/10/2017 12:00:00 AM,3,56.84
5023510,35815498,35815498,5023510.021744:011017.B,1/10/2017 12:00:00 AM,1,5.31
78672230,35814736,35814736,78672230.221137:010917.B,1/10/2017 12:00:00 AM,1,55
13223431,35814958,35814958,13223431.234013:010917.B,1/10/2017 12:00:00 AM,1,56.87
13227474,35814977,35814977,13227474.234523:010917.B,1/10/2017 12:00:00 AM,10,56.84
5047219,35816225,35816225,5047219.030943:011017.B,1/10/2017 12:00:00 AM,30,19.8250
5028626,35815871,35815871,5028626.023700:011017.S,1/10/2017 12:00:00 AM,-16,5.35
5029104,35815881,35815881,5029104.023759:011017.S,1/10/2017 12:00:00 AM,-1,5.31
5037274,35816051,35816051,5037274.025846:011017.S,1/10/2017 12:00:00 AM,-1,5.42
13156773,35814732,35814732,13156773.220637:010917.S,1/10/2017 12:00:00 AM,-1,57.18
13220317,35814949,35814949,13220317.232949:010917.B,1/10/2017 12:00:00 AM,1,56.87
13227296,35814974,35814974,13227296.234523:010917.B,1/10/2017 12:00:00 AM,10,56.84
